hgnc_id,effect_allele_frequency
HGNC:32043,0.000102309
HGNC:4484,4.41789e-05
HGNC:12733,3.02276e-05
HGNC:25230,0.00469226
HGNC:3697,5.11545e-05
HGNC:4054,5.81301e-05
HGNC:28530,6.97561e-05
HGNC:11430,4.88293e-05
HGNC:9296,1.27886e-05
HGNC:16839,0.000308089
HGNC:10290,0.00725463
HGNC:21416,0.000659195
HGNC:25508,0.000123236
HGNC:3521,0.000123236
HGNC:9582,5.23171e-05
HGNC:15470,5.92927e-05
HGNC:871,5.11545e-05
HGNC:20746,0.00019648
HGNC:25944,8.25447e-05
HGNC:25793,0.000270886
HGNC:1913,0.000247634
HGNC:30813,0.000133699
HGNC:28702,9.88211e-05
HGNC:11545,1.39512e-05
HGNC:4370,4.76667e-05
HGNC:31675,5.81301e-06
HGNC:8153,0.000168577
HGNC:3377,0.000210431
HGNC:33785,0.000153463
HGNC:10786,1.86016e-05
HGNC:19691,0.000213919
HGNC:9683,0.000771967
HGNC:6907,0.00031739
HGNC:29612,1.7439e-05
HGNC:10660,8.71951e-05
HGNC:14957,0.000282512
HGNC:25743,3.02276e-05
HGNC:30857,0.000276699
HGNC:30246,0.000212756
HGNC:3557,6.39431e-05
HGNC:23231,0.000302276
HGNC:19168,9.41707e-05
HGNC:4848,0.000209268
HGNC:30009,0.000102309
HGNC:2193,0.000914967
HGNC:944,0.000165089
HGNC:26338,0.000989374
HGNC:9635,4.06911e-05
HGNC:18116,2.67398e-05
HGNC:25510,0.000117423
HGNC:6399,1.27886e-05
HGNC:30685,3.60406e-05
HGNC:28163,0.000119748
HGNC:25545,0.00229381
HGNC:32576,0.000870788
HGNC:28837,0.000735927
HGNC:3272,5.92927e-05
HGNC:28133,0.000148813
HGNC:6524,0.00182993
HGNC:4852,0.000131374
HGNC:7142,1.39512e-05
HGNC:44652,0.000155789
HGNC:15473,0.000277862
HGNC:25501,8.37073e-05
HGNC:37057,0.000131374
HGNC:24172,7.78943e-05
HGNC:24094,5.34797e-05
HGNC:9887,0.000959146
HGNC:28897,0.00040226
HGNC:29301,0.00530611
HGNC:12840,0.000203455
HGNC:25768,0.000155789
HGNC:20240,2.09268e-05
HGNC:5144,2.20894e-05
HGNC:24143,0.00379822
HGNC:26886,0.000305764
HGNC:362,0.00194387
HGNC:29957,9.88211e-05
HGNC:25574,0.000323203
HGNC:18079,1.86016e-05
HGNC:30005,0.000260423
HGNC:3183,0.000140675
HGNC:13093,0.000163927
HGNC:24954,0.000161602
HGNC:28250,0.000403423
HGNC:4287,0.000340642
HGNC:4286,0.00218337
HGNC:4285,0.000154626
HGNC:4278,5.34797e-05
HGNC:25154,1.86016e-05
HGNC:30368,1.7439e-05
HGNC:40021,0.000156951
HGNC:13050,0.000655707
HGNC:26253,0.000163927
HGNC:10774,9.30081e-06
HGNC:13055,4.18537e-05
HGNC:30071,0.000222057
HGNC:17597,6.97561e-06
HGNC:30774,0.000182528
HGNC:9539,2.44146e-05
HGNC:26800,0.00119748
HGNC:19715,0.000358081
HGNC:18424,0.00013835
HGNC:3262,0.000141837
HGNC:18421,1.62764e-05
HGNC:11725,0.000413886
HGNC:21304,5.34797e-05
HGNC:2216,0.000247634
HGNC:19942,0.000144163
HGNC:25514,0.000113935
HGNC:22964,2.44146e-05
HGNC:26236,0.00162415
HGNC:25558,4.88293e-05
HGNC:21373,6.74309e-05
HGNC:17562,2.67398e-05
HGNC:29971,0.000192992
HGNC:14504,0.00107424
HGNC:2439,0.00112424
HGNC:4581,0.000365057
HGNC:26259,2.3252e-05
HGNC:25674,0.000103472
HGNC:30587,6.97561e-05
HGNC:14353,0.000240658
HGNC:29925,0.00034878
HGNC:21679,3.25528e-05
HGNC:26039,0.000989374
HGNC:14629,0.000212756
HGNC:19987,0.00153347
HGNC:26452,0.000104634
HGNC:28905,7.09187e-05
HGNC:24789,6.16179e-05
HGNC:7428,5.23171e-05
HGNC:6077,0.00471435
HGNC:10767,3.25528e-05
HGNC:3704,0.000140675
HGNC:24329,0.000351106
HGNC:9214,8.13821e-06
HGNC:19902,7.78943e-05
HGNC:7554,4.65041e-05
HGNC:19155,0.000574325
HGNC:16083,0.00228219
HGNC:25744,1.51138e-05
HGNC:7712,4.76667e-05
HGNC:13664,0.00140791
HGNC:21650,0.000237171
HGNC:8557,9.18455e-05
HGNC:4882,0.000858
HGNC:17819,9.06829e-05
HGNC:18212,3.60406e-05
HGNC:9258,0.00023252
HGNC:1075,0.00016974
HGNC:18606,0.000498756
HGNC:20286,0.00214151
HGNC:7555,4.41789e-05
HGNC:25897,6.74309e-05
HGNC:20040,0.000327854
HGNC:9325,0.000880089
HGNC:10025,5.92927e-05
HGNC:23312,0.000781268
HGNC:12877,0.000638268
HGNC:2218,0.000439463
HGNC:25082,0.000262748
HGNC:28053,0.000520845
HGNC:24708,0.00131374
HGNC:26115,6.97561e-05
HGNC:28418,0.000256935
HGNC:21292,2.44146e-05
HGNC:7806,0.00226126
HGNC:6298,0.000140675
HGNC:18696,7.78943e-05
HGNC:2519,0.00109401
HGNC:26313,0.00661404
HGNC:19003,0.00164741
HGNC:24814,0.000859162
HGNC:3177,0.00103355
HGNC:13561,0.000263911
HGNC:4683,2.55772e-05
HGNC:4682,0.000342967
HGNC:29178,4.65041e-05
HGNC:28725,6.16179e-05
HGNC:21192,0.000474341
HGNC:25686,8.02195e-05
HGNC:26103,0.00382147
HGNC:14651,8.71951e-05
HGNC:8014,4.76667e-05
HGNC:2040,6.27805e-05
HGNC:19316,0.000296463
HGNC:28795,0.00103006
HGNC:29204,3.4878e-05
HGNC:15743,0.000181366
HGNC:28028,6.51057e-05
HGNC:34347,0.00192759
HGNC:15531,0.000255772
HGNC:26485,0.000875439
HGNC:28275,0.000374358
HGNC:28755,0.000158114
HGNC:11809,0.000320878
HGNC:7217,0.000635943
HGNC:1723,0.000356919
HGNC:14418,3.25528e-05
HGNC:19971,0.00016974
HGNC:29040,0.00063013
