ensg,beta,standard_error,effect_allele_frequency
ENSG00000142627,-0.0348713,0.139712,0.000241474
ENSG00000142632,0.0473224,0.103014,0.000444311
ENSG00000132881,-0.132555,0.180336,0.000144884
ENSG00000037637,0.317082,0.34924,3.86358e-05
ENSG00000187144,-0.255564,0.103581,0.000439482
ENSG00000157191,-0.0431387,0.0983209,0.000487777
ENSG00000219481,0.0269497,0.0318044,0.00470391
ENSG00000058453,0.0392853,0.0452944,0.00230849
ENSG00000117122,0.144598,0.329206,4.34652e-05
ENSG00000159363,0.00439754,0.0850667,0.000651979
ENSG00000117118,0.256606,0.255016,7.24421e-05
ENSG00000117115,-0.00877941,0.0348858,0.00388289
ENSG00000142623,-0.0786859,0.0632365,0.00117356
ENSG00000142619,-0.00388183,0.104174,0.000434652
ENSG00000159339,-0.0262469,0.0369439,0.0034579
ENSG00000276747,0.0618796,0.076034,0.000816181
ENSG00000179051,0.0837094,0.246989,7.72715e-05
ENSG00000074964,0.139344,0.158178,0.000188349
ENSG00000117148,0.0377117,0.0533588,0.00166134
ENSG00000117154,-0.108756,0.297774,5.31242e-05
ENSG00000179023,-0.0601572,0.129739,0.000280109
ENSG00000009709,-0.104532,0.329196,4.34652e-05
ENSG00000179002,0.0384401,0.0937982,0.000536071
ENSG00000159423,0.0228631,0.0870226,0.000623002
ENSG00000169991,-0.21099,0.263951,6.76126e-05
ENSG00000127481,-0.0145437,0.135703,0.000255962
ENSG00000127463,0.069855,0.0778947,0.000777545
ENSG00000053372,-0.741901,0.297761,5.31242e-05
ENSG00000162482,0.000282932,0.0608849,0.00127498
ENSG00000053371,-0.351506,0.220876,9.65894e-05
ENSG00000040487,0.0829626,0.121604,0.000318745
ENSG00000077549,-0.0355001,0.349184,3.86358e-05
ENSG00000173436,0.289509,0.373313,3.38063e-05
ENSG00000158747,-0.0142334,0.0959719,0.000511924
ENSG00000270136,0.0209913,0.126486,0.000294598
ENSG00000158748,0.0134376,0.312332,4.82947e-05
ENSG00000162542,0.00774741,0.036344,0.00359313
ENSG00000178828,0.0806937,0.0679085,0.00102385
